Term,Ses,Subject,Catalog,Sec,Class Nbr,Career,Course Name,Topic Name,School,Dept,Instr ID,Class Start Date,Class End Date,Mtg Start,Mtg End,M,T,W,Th,Fri,S,Su,Bldng/Room,Enrl Cap,Wait Cap,Class Stat,Min,Max,Component
2228,S,IES, 405,03,1029,UGRD,"Inquiry, Evidence,& Dec Making",,CES,EDUC,462,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,LL B16,15,100,Active,3.00,3.00,LEC
2228,S,IES, 412,01,1030,UGRD,Teaching Writing K-12,,CES,EDUC,352,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,RH 003,20,100,Active,3.00,3.00,LEC
2228,S,IES, 413,01,1031,UGRD,Curr Iss in Disabi Stu & Servi,,CES,EDUC,104,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,M,,W,,,,,DT 005,17,100,Active,3.00,3.00,LEC
2228,S,IES, 451,01,1032,UGRD,Educ Application of Technology,,CES,EDUC,372,8/29/22,12/17/22,9:00:00 AM,12:00:00 PM,,,,,,S,,ONLINE TBA,25,100,Active,3.00,3.00,LEC
2228,S,IES, 492,01,1033,UGRD,IES Senior Seminar Internship,,CES,EDUC,521,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,RH 001,19,100,Active,3.00,3.00,LEC
2228,S,BIOL, 208,01,1051,UGRD,Intro to Molecular Genetics,,COS,BIOL,925,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,DH 103,56,0,Active,4.00,4.00,LEC
2228,S,BIOL, 208,02,1052,UGRD,Intro to Molecular Genetics,,COS,BIOL,969,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,DH 103,20,0,Active,4.00,4.00,LEC
2228,S,BIOL, 217,01,1053,UGRD,Introduction to Microbiology,,COS,BIOL,216,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,DH 103,54,0,Active,3.00,3.00,LEC
2228,S,BIOL, 317,01,1054,UGRD,"Microbiology, Lecture and Lab",,COS,BIOL,216,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,DH 103,54,0,Active,4.00,4.00,LEC
2228,S,BIOL, 204,01,1055,UGRD,Fr Mol Cel Evo Lfe Ea Ge Bio I,,COS,BIOL,155,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,AF 202,85,0,Active,4.00,4.00,LEC
2228,S,BIOL, 204,02,1056,UGRD,Fr Mol Cel Evo Lfe Ea Ge Bio I,,COS,BIOL,11,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,DH 101,40,0,Active,4.00,4.00,LEC
2228,S,BIOL, 204,03,1057,UGRD,Fr Mol Cel Evo Lfe Ea Ge Bio I,,COS,BIOL,11,8/29/22,12/17/22,12:00:00 PM,12:50:00 PM,M,,W,,F,,,DH 103,55,0,Active,4.00,4.00,LEC
2228,S,BIOL, 204,04,1058,UGRD,Fr Mol Cel Evo Lfe Ea Ge Bio I,,COS,BIOL,670,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,SC 150,55,0,Active,4.00,4.00,LEC
2228,S,BIOL, 204,05,1059,UGRD,Fr Mol Cel Evo Lfe Ea Ge Bio I,,COS,BIOL,856,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,AF 208,85,0,Active,4.00,4.00,LEC
2228,S,BIOL, 324,01,1060,UGRD,"Ecology, Lecture and Lab",,COS,BIOL,81,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,SH 205,18,0,Active,4.00,4.00,LEC
2228,S,BIOL, 145,01,1061,UGRD,Intro to Appli in Computa Scie,,COS,BIOL,251,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,M,,W,,,,,LL B16,15,0,Active,3.00,3.00,LEC
2228,S,BIOL, 498,01,1062,UGRD,Capstone Course Biological Sci,,COS,BIOL,251,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,BK 202,15,0,Active,3.00,3.00,LEC
2228,S,BIOL, 102,01,1063,UGRD,Forensics,,COS,BIOL,975,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SC 109,40,100,Active,3.00,3.00,LEC
2228,S,BIOL, 102,02,1064,UGRD,Forensics,,COS,BIOL,975,8/29/22,12/17/22,12:00:00 PM,12:50:00 PM,M,,W,,F,,,SC 109,40,100,Active,3.00,3.00,LEC
2228,S,ENV, 101,01,1065,UGRD,Intro to Environmental Science,,COS,ENV,689,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,M,,W,,,,,DH 101,35,0,Active,3.00,3.00,LEC
2228,S,ENV, 103,01,1066,UGRD,Introduction to Earth Systems,,COS,ENV,692,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,AF 202,60,0,Active,3.00,3.00,LEC
2228,S,ENV, 111,01,1067,UGRD,Physical Geology,,COS,ENV,248,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,SC 111,18,0,Active,3.00,3.00,LEC
2228,S,ENV, 330,01,1068,UGRD,Envi Prob Solv: En & Mat Flow,,COS,ENV,565,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,KC 371,20,0,Active,3.00,3.00,LEC
2228,S,ENV, 350,01,1069,UGRD,Corporate Sustainability Mgmt,,COS,ENV,526,8/29/22,12/17/22,4:00:00 PM,6:50:00 PM,,T,,,,,,ELB 123,18,0,Active,3.00,3.00,LEC
2228,S,ENV, 360,01,1070,UGRD,Environmntl Advocacy Thru Stry,,COS,ENV,689,8/29/22,12/17/22,4:00:00 PM,5:15:00 PM,M,,W,,,,,SC 111,20,0,Active,3.00,3.00,LEC
2228,S,ENV, 440,01,1071,UGRD,Remote Sensing of the Envirnmt,,COS,ENV,114,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,SC 222,18,0,Active,3.00,3.00,LEC
2228,S,ENV, 440,01,1071,UGRD,Remote Sensing of the Envirnmt,,COS,ENV,338,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,SC 222,18,0,Active,3.00,3.00,LEC
2228,S,ENV, 440,01,1071,UGRD,Remote Sensing of the Envirnmt,,COS,ENV,692,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,SC 222,18,0,Active,3.00,3.00,LEC
2228,S,ENV, 374,01,1072,UGRD,Environ Politics and Policy,,COS,ENV,592,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,AF 207,20,0,Active,3.00,3.00,LEC
2228,S,ENV, 374,02,1073,UGRD,Environ Politics and Policy,,COS,ENV,592,8/29/22,12/17/22,5:30:00 PM,6:45:00 PM,M,,W,,,,,AF 207,20,0,Active,3.00,3.00,LEC
2228,S,ENV, 392,01,1074,UGRD,Law & Policy Water Res Mgmt,,COS,ENV,571,8/29/22,12/17/22,7:00:00 PM,9:50:00 PM,,T,,,,,,SC 109,20,0,Active,3.00,3.00,LEC
2228,S,ENV, 111L,01,1075,UGRD,Physical Geology Laboratory,,COS,ENV,248,8/29/22,12/17/22,1:00:00 PM,4:50:00 PM,,T,,,,,,KC 371,18,0,Active,1.00,1.00,LAB
2228,S,BIOL, 498,02,1076,UGRD,Capstone Course Biological Sci,,COS,BIOL,887,8/29/22,12/17/22,10:00:00 AM,11:15:00 AM,,T,,Th,,,,SC 131,15,0,Active,3.00,3.00,LEC
2228,S,BIOL, 369,01,1077,UGRD,Evolution: From DNA to Dinos,,COS,BIOL,925,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,LL B14,20,0,Active,3.00,3.00,LEC
2228,S,BIOL, 450,01,1078,UGRD,Cell Biology,,COS,BIOL,561,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,SC 111,20,0,Active,3.00,3.00,LEC
2228,S,BIOL, 410,01,1079,UGRD,Developmental Biology,,COS,BIOL,595,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,SC 205,20,0,Active,3.00,3.00,LEC
2228,S,BIOL, 401,01,1080,UGRD,Cancer Biology,,COS,BIOL,601,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,LL B14,10,0,Active,3.00,3.00,LEC
2228,S,BIOL, 401,01,1080,UGRD,Cancer Biology,,COS,BIOL,969,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,LL B14,10,0,Active,3.00,3.00,LEC
2228,S,CHEM, 140,01,1081,UGRD,General Chemistry I,,COS,CHEM,268,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,SC 150,88,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,01,1082,UGRD,Introduction to Statistics,,COS,MATH,459,8/29/22,12/17/22,8:00:00 AM,8:50:00 AM,M,,W,,F,,,SC 127,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,02,1083,UGRD,Introduction to Statistics,,COS,MATH,459,8/29/22,12/17/22,9:00:00 AM,9:50:00 AM,M,,W,,F,,,SC 127,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,03,1084,UGRD,Introduction to Statistics,,COS,MATH,459,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,SC 127,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,04,1085,UGRD,Introduction to Statistics,,COS,MATH,363,8/29/22,12/17/22,4:00:00 PM,5:15:00 PM,M,,W,,,,,LL B13,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,05,1086,UGRD,Introduction to Statistics,,COS,MATH,363,8/29/22,12/17/22,5:30:00 PM,6:45:00 PM,M,,W,,,,,LL B13,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,06,1087,UGRD,Introduction to Statistics,,COS,MATH,536,8/29/22,12/17/22,5:30:00 PM,6:45:00 PM,M,,W,,,,,LL B16,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,07,1088,UGRD,Introduction to Statistics,,COS,MATH,536,8/29/22,12/17/22,7:00:00 PM,8:15:00 PM,M,,W,,,,,LL B16,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,08,1089,UGRD,Introduction to Statistics,,COS,MATH,731,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,,T,,Th,,,,LL B13,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,09,1090,UGRD,Introduction to Statistics,,COS,MATH,731,8/29/22,12/17/22,4:00:00 PM,5:15:00 PM,,T,,Th,,,,LL B13,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,10,1091,UGRD,Introduction to Statistics,,COS,MATH,943,8/29/22,12/17/22,5:30:00 PM,6:45:00 PM,,T,,Th,,,,LL B13,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,11,1092,UGRD,Introduction to Statistics,,COS,MATH,839,8/29/22,12/17/22,11:00:00 AM,11:50:00 AM,M,,W,,F,,,ONLINE TBA,20,100,Active,3.00,3.00,LEC
2228,S,MATH, 203,12,1093,UGRD,Introduction to Statistics,,COS,MATH,839,8/29/22,12/17/22,12:00:00 PM,12:50:00 PM,M,,W,,F,,,ONLINE TBA,20,100,Active,3.00,3.00,LEC
2228,S,CHEM, 140,02,1094,UGRD,General Chemistry I,,COS,CHEM,20,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,AF 208,88,100,Active,3.00,3.00,LEC
2228,S,CHEM, 140,03,1095,UGRD,General Chemistry I,,COS,CHEM,204,8/29/22,12/17/22,10:00:00 AM,10:50:00 AM,M,,W,,F,,,AF 202,85,100,Active,3.00,3.00,LEC
